time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,53,19,0,0
2026-04-21 00:00:00+00:00,75,28,0,0
2026-04-22 00:00:00+00:00,78,26,0,0
2026-04-23 00:00:00+00:00,75,21,0,0
2026-04-24 00:00:00+00:00,100,32,0,0
2026-04-25 00:00:00+00:00,54,21,0,0
2026-04-26 00:00:00+00:00,27,10,0,0
2026-04-27 00:00:00+00:00,20,6,0,0
2026-04-28 00:00:00+00:00,25,7,1,1
2026-04-29 00:00:00+00:00,12,7,0,0
2026-04-30 00:00:00+00:00,16,5,0,0
2026-05-01 00:00:00+00:00,34,9,0,0
2026-05-02 00:00:00+00:00,10,4,0,0
2026-05-03 00:00:00+00:00,18,8,0,0
