time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,19,4,0,0
2026-06-22 00:00:00+00:00,49,15,0,0
2026-06-23 00:00:00+00:00,45,11,0,0
2026-06-24 00:00:00+00:00,29,10,1,1
2026-06-25 00:00:00+00:00,27,8,0,0
2026-06-26 00:00:00+00:00,24,7,1,1
2026-06-27 00:00:00+00:00,12,6,1,1
2026-06-28 00:00:00+00:00,8,4,0,0
2026-06-29 00:00:00+00:00,8,3,0,0
2026-06-30 00:00:00+00:00,2,2,1,1
2026-07-01 00:00:00+00:00,4,3,0,0
2026-07-02 00:00:00+00:00,9,4,0,0
2026-07-03 00:00:00+00:00,22,8,0,0
2026-07-04 00:00:00+00:00,18,5,0,0
