time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,11,5,0,0
2026-05-07 00:00:00+00:00,5,4,0,0
2026-05-08 00:00:00+00:00,19,9,0,0
2026-05-09 00:00:00+00:00,11,6,0,0
2026-05-10 00:00:00+00:00,15,6,0,0
2026-05-11 00:00:00+00:00,19,5,0,0
2026-05-12 00:00:00+00:00,19,4,0,0
2026-05-13 00:00:00+00:00,35,8,0,0
2026-05-14 00:00:00+00:00,14,5,0,0
2026-05-15 00:00:00+00:00,14,5,0,0
2026-05-16 00:00:00+00:00,21,8,0,0
2026-05-17 00:00:00+00:00,30,9,0,0
2026-05-18 00:00:00+00:00,21,7,0,0
2026-05-19 00:00:00+00:00,25,7,0,0
